Componente,Modelo u operación,Media (ms),Mediana (ms),SD (ms),P95 (ms),Mín (ms),Máx (ms),n
Segmentación dental,YOLO26s-seg,32.57824262813346,30.224531999920146,8.707499906191737,47.73252255031366,21.613876000628807,76.32669300073758,242
Detección de dientes con caries visibles,YOLO26m-det,30.773684533046474,28.285781500017038,8.61274871372571,45.87438505050159,20.32845499979885,74.58292600040295,242
Asociación geométrica,Cálculo de solapamiento,1.6192731528981539,0.03756500018425868,7.580433789944171,8.454347399810914,0.00028800059226341546,53.555570000753505,242
Pipeline integrado,Segmentación + detección + asociación,104.81395994626784,93.70917250043931,42.17826102919399,182.8067521996217,53.482147000067926,332.0676169996659,242
