umbral,TP,TN,FP,FN,sensibilidad,especificidad,precision,f1,balanced_accuracy
10,0,66,0,3,0.0,1.0,0.0,0.0,0.5
15,0,66,0,3,0.0,1.0,0.0,0.0,0.5
20,2,58,8,1,0.6666666666666666,0.8787878787878788,0.2,0.30769230769230765,0.7727272727272727
25,2,48,18,1,0.6666666666666666,0.7272727272727273,0.1,0.1739130434782609,0.696969696969697
30,2,32,34,1,0.6666666666666666,0.48484848484848486,0.05555555555555555,0.10256410256410256,0.5757575757575757
35,2,25,41,1,0.6666666666666666,0.3787878787878788,0.046511627906976744,0.08695652173913045,0.5227272727272727
40,2,16,50,1,0.6666666666666666,0.24242424242424243,0.038461538461538464,0.07272727272727274,0.45454545454545453
45,3,0,66,0,1.0,0.0,0.043478260869565216,0.08333333333333333,0.5
